WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrPO4PmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWAPO4PmgL,FWASO4SmgL,iNDVI
1990,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.196466327,3259.113107,N/A,N/A,N/A,N/A,N/A,N/A,132.582
1991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.700473322,3303.949673,N/A,N/A,N/A,N/A,N/A,N/A,122.7246
1992,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.242653124,2852.730209,N/A,N/A,N/A,N/A,N/A,N/A,123.8395
1993,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.727447979,2667.531346,N/A,N/A,N/A,N/A,N/A,N/A,119.9907
1994,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.575321635,2889.690521,N/A,N/A,N/A,N/A,N/A,N/A,135.32495
1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.083517443,2495.62786,N/A,N/A,N/A,N/A,N/A,N/A,124.50215
1996,N/A,1856.8,1298.402,0.713333333,7.4775,0.012359462,0.035503426,0.001820899,1.539967742,3.055112,22.348642,25.403754,24.44156,4.157011457,3554.436757,0.626604827,7.835059265,0.010375765,0.039623671,0.001787879,1.422118332,132.46715
1997,N/A,1645.6,1115.983,0.649166667,8.143333333,0.007118015,0.036990579,0.001739366,1.436487251,3.25018,21.009195,24.259375,24.94848,4.292984054,3342.225417,0.563541147,8.756262344,0.006593728,0.032874114,0.001865737,1.332002684,138.3548
1998,N/A,1397.4,806.81,0.665,8.02,0.010482894,0.030439575,0.001712188,1.456793907,3.076483,19.752818,22.829301,21.03733,5.43749496,2902.93701,0.604790682,8.439025681,0.0094884,0.040611434,0.00188246,1.385625522,152.90785
1999,3.909213941,1657.4,1078.382,0.638333333,10.71583333,0.004917901,0.058017793,0.002799292,1.350809855,2.804091,20.337764,23.141855,22.33873,5.498092321,3206.063972,0.597967381,10.91609171,0.005448859,0.059404237,0.00301189,1.272786749,157.05145
2000,2.753398618,1600.3,1012.919,0.695,8.710833333,0.005888539,0.103140651,0.002663404,1.396430287,4.329853,22.362026,26.691879,25.83601,5.505006986,3413.255408,0.585299693,9.666074859,0.006188035,0.110504719,0.003078985,1.300770048,132.1591
2001,4.685727087,1169.9,641.571,0.711666667,7.68,0.005888539,0.075694207,0.001657833,1.425360316,2.100529,15.725715,17.826244,14.97025,4.03074908,2612.509082,0.628616194,8.675521977,0.005156932,0.115946252,0.001988779,1.353697628,132.37645
2002,2.466321045,1317.3,731.81,0.7025,9.859166667,0.006923887,0.044576941,0.002581871,1.501857992,2.932956,18.540317,21.473273,18.51573,5.817763722,2649.877369,0.60380018,10.05941673,0.007267091,0.054788163,0.003132707,1.410890994,134.1432
2003,3.462903226,1204.9,656.908,0.679166667,8.685,0.005694412,0.063401663,0.001983964,1.491287404,2.213191,14.414812,16.628003,16.05277,3.841054838,2637.977607,0.604382577,9.447968559,0.004448112,0.087858296,0.002106494,1.418567383,131.1227
2004,3.224603175,1757.7,1155.749,0.580833333,10.24166667,0.005694412,0.056285919,0.002119852,1.276259393,3.034459,17.462167,20.496626,21.10418,4.65858636,3275.699556,0.527721841,11.69607683,0.006556969,0.056201269,0.002494524,1.210006623,137.6526
2005,4.668727599,1488.7,1012.529,0.623333333,7.545,0.0042061,0.099036862,0.000842505,1.277093914,2.066974,14.279303,16.346277,18.06149,4.172025305,3078.727579,0.548111037,8.103021415,0.004182751,0.132462314,0.000582221,1.174883508,141.80805
2006,3.521550179,1927.6,1333.188,0.563333333,7.6675,0.003882553,0.10357362,N/A,1.175282462,2.746244,14.357297,17.103541,19.46085,5.812568596,3895.49801,0.530977154,8.355650418,0.003882553,0.080110917,N/A,1.107844783,140.06195
2007,4.121310716,1606.7,988.143,0.5975,7.455,0.004529646,0.094594228,N/A,1.141623485,1.611382,10.922657,12.534039,15.34313,4.949551661,3722.482961,0.499899002,8.277651241,0.004531997,0.096052412,N/A,1.055968243,149.6381
2008,3.952982591,1604.8,1025.778,0.594166667,6.861666667,0.003882553,0.042430923,2.71776E-05,1.201708932,3.335744,15.898739,19.234483,20.98636,4.846803758,3268.578228,0.531144809,7.078671389,0.003882553,0.051755572,3.18317E-05,1.115833421,134.92785
2009,4.693605991,1783.8,1030.524,0.508333333,9.23,0.003882553,0.032566769,8.15328E-05,1.0286851,2.172469,12.600184,14.772653,16.206,4.601787993,3692.837193,0.475391451,9.73607392,0.003882553,0.026979385,0.000133467,0.978630119,145.5865
2010,3.589362519,1549,986.035,0.518333333,8.58,0.003882553,0.017243445,N/A,0.924648262,1.333623,8.771801,10.105424,10.6572,5.480569584,3418.649306,0.488837364,8.978165836,0.003882553,0.016738915,N/A,0.88573832,145.2138
2011,5.707971821,1796.7,1169.231,0.529166667,9.465833333,0.003882553,0.027352321,N/A,0.897665445,1.640855,11.367864,13.008719,12.90386,4.808491507,3654.016412,0.442219091,9.506897918,0.003882553,0.036380441,N/A,0.795389674,122.47005
2012,N/A,1719.9,1042.989,0.495,9.206666667,0.003882553,0.040793172,N/A,0.813378916,1.514996,10.011025,11.526021,9.10373,6.679931431,3300.372741,0.463539922,9.942432538,0.003882553,0.039404408,N/A,0.774173574,144.9582
2013,N/A,1520.7,918.734,0.49,9.673333333,0.006212086,0.0592414,0.000244598,0.777216379,1.328097,9.418584,10.746681,7.63822,5.377922005,3007.435712,0.466210557,10.09063092,0.005919088,0.057309391,0.000412247,0.74791846,133.85875
2014,N/A,1502.3,924.909,0.5625,8.96,0.006406213,0.108016254,0.001222992,0.792794087,2.001768,11.014262,13.01603,7.62384,4.065980957,3307.644139,0.511426292,9.240885449,0.006204862,0.115163597,0.001112617,0.706758177,114.57335
2015,N/A,1447.8,844.269,0.535,9.399166667,0.005629703,0.063251066,0.00067944,0.742444708,N/A,N/A,N/A,N/A,4.018929332,2858.139322,0.468240348,11.21605866,0.006643304,0.066898987,0.00068751,0.650007213,127.9329
2016,N/A,1634.8,1053.246,0.4975,10.03416667,0.006082667,0.043729829,0.000652262,0.691260809,N/A,N/A,N/A,N/A,6.086054918,3127.055094,0.488721704,9.526142155,0.005734132,0.047770818,0.000652262,0.695690572,N/A
2017,N/A,1533.6,865.569,0.498333333,10.41833333,0.006082667,0.042506222,0.000706617,0.721581706,N/A,N/A,N/A,N/A,5.618808018,3055.275671,0.420590236,10.3210679,0.006143032,0.049459311,0.000695708,0.614668582,N/A
2018,N/A,1673.9,1040.176,0.51,16.1975,0.009706384,0.015812766,0.000652262,0.589171185,N/A,N/A,N/A,N/A,5.139377673,3131.016903,N/A,N/A,N/A,N/A,N/A,N/A,N/A
